iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,icu_patients,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations
DEU,Europe,Germany,2020-02-02,10.0,2.0,,,,,,,,
DEU,Europe,Germany,2020-02-03,12.0,2.0,,,,,,,,
DEU,Europe,Germany,2020-02-04,12.0,0.0,,,,,,,,
DEU,Europe,Germany,2020-02-05,12.0,0.0,,,,,,,,
DEU,Europe,Germany,2020-02-06,12.0,0.0,,,,,,,,
DEU,Europe,Germany,2020-02-07,13.0,1.0,,,,,,,,
DEU,Europe,Germany,2020-02-08,13.0,0.0,,,,,,,,
DEU,Europe,Germany,2020-02-09,14.0,1.0,,,,,,,,
DEU,Europe,Germany,2020-02-10,14.0,0.0,,,,,,,,
DEU,Europe,Germany,2020-02-11,16.0,2.0,,,,,,,,
DEU,Europe,Germany,2020-02-12,16.0,0.0,,,,,,,,
DEU,Europe,Germany,2020-02-13,16.0,0.0,,,,,,,,
DEU,Europe,Germany,2020-02-14,16.0,0.0,,,,,,,,
DEU,Europe,Germany,2020-02-15,16.0,0.0,,,,,,,,
DEU,Europe,Germany,2020-02-16,16.0,0.0,,,,,,,,
DEU,Europe,Germany,2020-02-17,16.0,0.0,,,,,,,,
DEU,Europe,Germany,2020-02-18,16.0,0.0,,,,,,,,
DEU,Europe,Germany,2020-02-19,16.0,0.0,,,,,,,,
DEU,Europe,Germany,2020-02-20,16.0,0.0,,,,,,,,
DEU,Europe,Germany,2020-02-21,16.0,0.0,,,,,,,,
DEU,Europe,Germany,2020-02-22,16.0,0.0,,,,,,,,
DEU,Europe,Germany,2020-02-23,16.0,0.0,,,,,,,,
DEU,Europe,Germany,2020-02-24,16.0,0.0,,,,,,,,
DEU,Europe,Germany,2020-02-25,17.0,1.0,,,,,,,,
DEU,Europe,Germany,2020-02-26,27.0,10.0,,,,,,,,
DEU,Europe,Germany,2020-02-27,46.0,19.0,,,,,,,,
DEU,Europe,Germany,2020-02-28,48.0,2.0,,,,,,,,
DEU,Europe,Germany,2020-02-29,79.0,31.0,,,,,,,,
DEU,Europe,Germany,2020-03-01,130.0,51.0,,,,,,,,
DEU,Europe,Germany,2020-03-02,159.0,29.0,,,3.0,,,,,
DEU,Europe,Germany,2020-03-03,196.0,37.0,,,3.02,,,,,
DEU,Europe,Germany,2020-03-04,262.0,66.0,,,3.07,,,,,
DEU,Europe,Germany,2020-03-05,482.0,220.0,,,3.12,,,,,
DEU,Europe,Germany,2020-03-06,670.0,188.0,,,3.05,,,,,
DEU,Europe,Germany,2020-03-07,799.0,129.0,,,3.01,,,,,
DEU,Europe,Germany,2020-03-08,1040.0,241.0,,,2.98,,,,,
DEU,Europe,Germany,2020-03-09,1176.0,136.0,2.0,2.0,2.95,,,,,
DEU,Europe,Germany,2020-03-10,1457.0,281.0,2.0,0.0,2.96,,,,,
DEU,Europe,Germany,2020-03-11,1908.0,451.0,3.0,1.0,2.96,,,,,
DEU,Europe,Germany,2020-03-12,2078.0,170.0,3.0,0.0,2.96,,,,,
DEU,Europe,Germany,2020-03-13,3675.0,1597.0,7.0,4.0,3.05,,,,,
DEU,Europe,Germany,2020-03-14,4585.0,910.0,9.0,2.0,2.98,,,,,
DEU,Europe,Germany,2020-03-15,5795.0,1210.0,11.0,2.0,2.9,,,,,
DEU,Europe,Germany,2020-03-16,7272.0,1477.0,17.0,6.0,2.82,,,,,
DEU,Europe,Germany,2020-03-17,9257.0,1985.0,24.0,7.0,2.72,,,,,
DEU,Europe,Germany,2020-03-18,12327.0,3070.0,28.0,4.0,2.61,,,,,
DEU,Europe,Germany,2020-03-19,15320.0,2993.0,44.0,16.0,2.47,,,,,
